Latitude,Longitude,Cluster
36.047598,-80.239341,3
36.171244,-80.277212,4
36.1059364934767,-80.2587788528864,2
36.0407795625797,-80.2159658983877,3
36.061589,-80.311819,1
36.068015,-80.285604,1
36.009625,-80.262499,0
36.2010007,-80.2833275,4
36.0501157011404,-80.2502486228774,3
36.12227,-80.220998,8
36.09651,-80.242718,2
36.09651,-80.242718,2
36.115186,-80.241164,8
36.0943202182096,-80.2710298950326,2
36.1777058809524,-80.3100082142857,4
36.066588,-80.251742,3
36.027742,-80.263214,0
36.069792,-80.297193,1
36.078456,-80.25991,1
36.142806,-80.298246,6
36.124315,-80.187973,8
36.0991461632653,-80.2522116734694,2
36.053305,-80.215237,3
36.142691,-80.297909,6
36.105975,-80.260878,2
36.09651,-80.242718,2
36.0990155714286,-80.2532951428571,2
36.0769725,-80.3025498,1
36.108425,-80.252045,8
36.0859943,-80.2449371,1
36.09651,-80.242718,2
36.0664595454546,-80.2065378787879,3
36.0692012,-80.2973924,1
36.041533,-80.256653,0
36.104154,-80.230087,2
36.17271825,-80.2648705,4
36.099555,-80.248154,2
36.0769944489796,-80.2736506326531,1
36.105975,-80.260878,2
36.070797,-80.153789,3
36.150568,-80.274778,6
36.099272,-80.247014,2
36.0990155714286,-80.2532951428571,2
36.09651,-80.242718,2
36.0778817,-80.2262459,1
36.027742,-80.263214,0
36.053721,-80.257649,3
36.1013878367347,-80.228759122449,2
36.09651,-80.242718,2
36.10576,-80.205543,2
36.1860095844169,-80.2628647187079,4
36.063949,-80.316011,1
36.136641,-80.247028,6
36.09651,-80.242718,2
36.073004,-80.178191,3
36.0998131,-80.2440518,2
36.061563,-80.349069,1
36.09651,-80.242718,2
36.065673,-80.178445,3
36.0200309294378,-80.2562923004842,0
36.09651,-80.242718,2
36.105975,-80.260878,2
36.139029,-80.282551,6
36.0792093161532,-80.2247480322975,1
36.0792093161532,-80.2247480322975,1
36.0792093161532,-80.2247480322975,1
36.106909,-80.226339,8
36.0720567021366,-80.3037489912703,1
36.068235,-80.3032388,1
36.1695977936107,-80.2927959910168,4
36.157311,-80.251467,6
36.0619484081633,-80.2228065510204,3
36.083061,-80.328794,1
36.066775,-80.218838,3
36.1500061781787,-80.2440980677092,6
36.09651,-80.242718,2
36.0647657252668,-80.3053120449406,1
36.068721122449,-80.2078643673469,3
36.09651,-80.242718,2
36.1500061781787,-80.2440980677092,6
36.06721,-80.31996,1
36.148552,-80.226336,6
36.121657,-80.24402,8
36.121657,-80.24402,8
36.188438,-80.277755,4
36.097969,-80.248767,2
36.097969,-80.248767,2
36.1073050011294,-80.2669905117694,2
36.105975,-80.260878,2
36.105975,-80.260878,2
36.1917571281901,-80.2784244257259,4
36.127367,-80.210999,8
36.168761,-80.285982,4
36.0696056464646,-80.3401606969697,1
36.099842,-80.245251,2
36.098389,-80.24591,2
36.105975,-80.260878,2
36.09651,-80.242718,2
36.1659514341801,-80.3069456797537,4
36.09651,-80.242718,2
36.09651,-80.242718,2
36.0300064731146,-80.2618456125504,0
36.027742,-80.263214,0
36.09651,-80.242718,2
36.09651,-80.242718,2
36.07346,-80.189423,3
36.1519696976744,-80.2928884651163,6
36.0985842157991,-80.2095236207178,2
36.0747435896522,-80.3369473376764,1
36.105975,-80.260878,2
36.1477597772682,-80.2523273763957,6
36.09651,-80.242718,2
36.0477992983934,-80.2929549261774,1
36.09651,-80.242718,2
36.09651,-80.242718,2
36.0778850663463,-80.1748795063298,3
36.0721761,-80.2967021,1
36.09651,-80.242718,2
36.066682,-80.21983,3
36.102168,-80.2077,2
36.119529,-80.25573,8
36.105975,-80.260878,2
36.1528597456009,-80.2632944256372,6
36.18006265,-80.2778819457842,4
36.169152,-80.282724,4
36.1162007468437,-80.209006876,8
36.09651,-80.242718,2
36.193135,-80.279361,4
36.077954,-80.2376778,1
36.1442885864049,-80.299809271757,6
36.065454,-80.276826,1
36.099582,-80.2298207142857,2
36.1117073333333,-80.2253792469136,8
36.109472,-80.214409,8
36.06783,-80.219815,3
36.150043383634,-80.2441078007819,6
36.027742,-80.263214,0
36.105576,-80.222395,2
36.092722,-80.26415,2
36.0982022722477,-80.2344248752119,2
36.072625,-80.338399,1
36.0645708828866,-80.2122380521467,3
36.1075,-80.146174,8
36.051607,-80.274892,1
36.1282553265306,-80.2042934489796,8
36.09651,-80.242718,2
36.0982572,-80.2538157,2
36.0982572,-80.2538157,2
36.072625,-80.338399,1
36.0998131,-80.2440518,2
36.0424698,-80.230568,3
36.105975,-80.260878,2
36.105975,-80.260878,2
36.09651,-80.242718,2
36.1688930353138,-80.2609049929505,4
36.1688930353138,-80.2609049929505,4
36.064604,-80.313357,1
36.102184,-80.228487,2
36.0526585714286,-80.2222741428571,3
36.072625,-80.338399,1
36.0647657252668,-80.3053120449406,1
36.0857262431783,-80.1461632131926,3
36.114769,-80.23452,8
36.114769,-80.23452,8
36.09651,-80.242718,2
36.1220465693864,-80.3796299730712,2
36.1702166769409,-80.3225793763404,4
36.09651,-80.242718,2
36.053417,-80.231894,3
36.09651,-80.242718,2
36.029668,-80.261939,0
36.072625,-80.338399,1
36.069671,-80.238788,3
36.069792,-80.297193,1
36.146544,-80.24426,6
36.117551,-80.237872,8
36.142631,-80.244051,6
36.09651,-80.242718,2
36.142631,-80.244051,6
36.09651,-80.242718,2
36.029668,-80.261939,0
36.029668,-80.261939,0
36.072625,-80.338399,1
36.0664774693878,-80.2096233061224,3
36.0990155714286,-80.2532951428571,2
36.099297,-80.24747,2
36.099297,-80.24747,2
36.062812,-80.301721,1
36.027742,-80.263214,0
36.027742,-80.263214,0
36.027742,-80.263214,0
36.053024,-80.231089,3
36.169152,-80.282724,4
36.098965,-80.253776,2
36.076005,-80.296537,1
36.121657,-80.24402,8
36.027742,-80.263214,0
36.027742,-80.263214,0
36.1674905,-80.2838875,4
36.0499188028578,-80.249958721228,3
36.118067,-80.224293,8
36.105975,-80.260878,2
36.1300179387755,-80.242099877551,8
36.09651,-80.242718,2
36.09651,-80.242718,2
36.105975,-80.260878,2
36.095849,-80.247516,2
36.027742,-80.263214,0
36.09651,-80.242718,2
36.151335,-80.274061,6
36.151335,-80.274061,6
36.115186,-80.241164,8
36.09651,-80.242718,2
36.09651,-80.242718,2
36.102139,-80.157537,3
36.09651,-80.242718,2
36.0998808,-80.2451447,2
36.112456,-80.243858,8
36.1008624929304,-80.250596151647,2
